species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
Sora,United States,22-06-2002 09:55,"A small rail with a brown plumage and a distinctive ""whinny"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,call,,
Black Guillemot,United States,08-08-2011 12:30,"A small seabird with a black plumage, a white wing patch, and bright red feet",Unknown,"Black, White, and Red",,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,black,,,,,,small,,,,,,,,,white,
Indigo Bunting,United States,26-04-2004 14:35,"A small finch with a colorful plumage, including deep blue and black",Male,Blue and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|blue,,,,,,small,,,,,,,,,,
Red-bellied Woodpecker,United States,30-06-2010 16:55,"A medium-sized woodpecker with a grayish-brown plumage, a red crown, and a distinctive ""churr"" call",Unknown,Grayish-brown and Red,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,,,,,,,call,,
Semipalmated Plover,United States,11-08-2002 09:55,A small plover with a mottled brown plumage and partially webbed feet,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,,,
American Coot,United States,04-05-2011 12:30,"A medium-sized waterbird with a dark plumage, a distinctive white bill, and a lobed feet",Unknown,Dark and White,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Western Meadowlark,United States,12-07-2010 14:35,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
Hairy Woodpecker,United States,18-08-2003 16:55,"A medium-sized woodpecker with a black-and-white plumage and a larger bill than its close relative, the Downy Woodpecker",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Least Flycatcher,United States,12-06-2011 09:25,"A small songbird with a grayish-brown plumage and a distinctive ""che-bek"" call",Unknown,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,,,,,call,,
Western Scrub-Jay,United States,20-05-2002 11:40,"A medium-sized bird with a blue plumage and a distinctive ""ack-ack-ack"" call",Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,medium,,,,,,,,call,,
Purple Finch,United States,16-07-2010 13:30,"A small finch with a colorful plumage, including purple and pink",Male,Purple and Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pink|purple,,,,,,small,,,,,,,,,,
Least Bittern,United States,21-08-2003 16:55,"A small heron with a brown plumage and a distinctive ""coo-coo-coo"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,call,,
Common Goldeneye,United States,16-04-2011 09:55,A medium-sized diving duck with a black-and-white plumage and a distinctive golden-yellow eye,Male,"Black, White, and Golden-yellow",,,,,,,,,,,,,,,,gold|yellow,,,,,,,,,,,,,diving,,,,black|white,,,,,,medium,,,,,,,,,,
Gray Jay,United States,16-06-2002 12:40,"A medium-sized bird with a gray plumage and a distinctive ""whisper song",Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,song,,
Northern Waterthrush,United States,24-08-2010 14:35,"A small warbler with a brownish plumage and a distinctive ""chip-chip-chip"" call",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,call,,
Red-winged Blackbird,United States,12-06-2003 16:55,A medium-sized blackbird with a black plumage and distinctive red shoulder patches,Male,Black and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,red,,medium,,,,,,,,,,
Black-necked Stilt,United States,04-05-2011 09:25,"A tall wading bird with a black-and-white plumage, long pink legs, and a distinctive ""kleep"" call",Unknown,"Black, White, and Pink",,,,,,,,,,,,,,,,,,,,,,,,,tall,pink,,long,wading,,,,black|white,,,,,,,,,,,,,,call,,
Prothonotary Warbler,United States,11-07-2010 11:40,A small warbler with a yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
American Pipit,United States,18-08-2002 13:30,"A medium-sized songbird with a brownish plumage and a distinctive ""tsip"" call",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Spotted Sandpiper,United States,19-06-2011 16:55,A small sandpiper with a mottled brown plumage and a distinctive teetering behavior,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,,,
Green Heron,United States,23-08-2003 09:55,"A medium-sized heron with a greenish plumage, a distinctive neck ""hunch,"" and a dagger-like bill",Unknown,Green,,,,,,dagger,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,medium,,,,,,,,,,
Purple Gallinule,United States,01-09-2010 12:30,"A medium-sized waterbird with a colorful plumage, including purple, green, and blue",Unknown,"Purple, Green, and Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|purple,,,,,,medium,,,,,,,,,,
Golden-winged Warbler,United States,23-05-2002 14:35,"A small warbler with a grayish plumage, a distinctive yellow crown, and a buzzy song",Unknown,Grayish and Yellow,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,,,,,song,,
Least Sandpiper,United States,31-07-2011 16:55,"A small sandpiper with a mottled brown plumage and a distinctive ""peep"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,call,,
Yellow-crowned Kinglet,United States,01-05-2010 09:55,A small bird with a grayish-green plumage and a distinctive yellow crown,Male,Grayish-green and Yellow,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,gray|green,,,,,,small,,,,,,,,,,
Brown Thrasher,United States,28-08-2003 11:40,A medium-sized songbird with a brown plumage and a distinctive repertoire of melodious songs,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Black-backed Woodpecker,United States,05-06-2011 13:30,A medium-sized woodpecker with a black plumage and a distinctive white back,Male,Black and White,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Common Tern,United States,04-08-2010 16:55,"A medium-sized tern with a white plumage, a distinctive black cap, and a graceful flight",Unknown,White and Black,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,,,
Snow Bunting,United States,22-05-2002 09:55,"A medium-sized songbird with a white plumage and a distinctive ""tinkling"" call",Unknown,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,medium,,,,,,,,call,,
Yellow-throated Vireo,United States,14-08-2011 12:30,"A small songbird with a yellowish plumage and a distinctive ""weer-weer-weer"" call",Unknown,Yellowish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,call,,
Belted Kingfisher,United States,25-06-2003 14:35,"A medium-sized bird with a blue plumage, a distinctive crest, and a rattling call",Unknown,Blue,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,blue,,,,,,medium,,,,,,,,call,,
Red-breasted Nuthatch,United States,26-09-2010 16:55,"A small songbird with a blue-gray plumage and a distinctive ""yank-yank"" call",Unknown,Blue-gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue_gray,,,,,,small,,,,,,,,call,,
Lark Sparrow,United States,30-07-2002 09:25,"A medium-sized sparrow with a colorful plumage, including brown, black, and white",Male,"Brown, Black, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|brown|white,,,,,,medium,,,,,,,,,,
Osprey,United States,06-09-2011 11:40,"A large bird of prey with a dark plumage, a distinctive white head, and a habit of hunting fish",Unknown,Dark and White,,,,,,,,,,,,,,,,,,fishing,,,,white,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Common Snipe,United Kingdom,24-05-2004 13:30,"A small wading bird with a mottled brown plumage and a distinctive ""scaap"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wading,,,,brown,,mottled,,,,small,,,,,,,,call,,
Painted Bunting,United States,12-07-2010 16:55,"A small finch with a colorful plumage, including bright blue, green, and red",Male,"Blue, Green, and Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|red,,,,,,small,,,,,,,,,,
American Tree Sparrow,United States,19-08-2002 09:55,"A small sparrow with a brown plumage, a distinctive rusty cap, and a melodious song",Unknown,Brown and Rusty,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,song,,
Eastern Wood-Pewee,United States,19-06-2011 12:10,"A small flycatcher with a grayish-brown plumage and a distinctive ""pee-ah-wee"" call",Unknown,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,,,,,call,,
Spotted Owl,United States,21-08-2010 14:35,"A medium-sized owl with a brown plumage, a distinctive spotted pattern, and a haunting hooting call",Unknown,Brown and Spotted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,spotted,,,,medium,,,,,,,,call,,
Hooded Merganser,United States,05-06-2003 16:55,"A small diving duck with a colorful plumage, including black, white, and rust",Male,"Black, White, and Rust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,black|white,,,,,,small,,,,,,,,,,
Wilson's Phalarope,United States,15-08-2011 09:55,"A small sandpiper with a grayish-brown plumage, a distinctive white belly, and a unique spinning-foraging behavior",Unknown,Grayish-brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,,white,,,,,
Eastern Screech-Owl,United States,03-09-2010 12:30,"A small owl with a grayish plumage and a distinctive ""whinny"" call",Unknown,Grayish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,small,,,,,,,,call,,
Black-throated Blue Warbler,United States,11-07-2002 14:35,A small warbler with a blue plumage,Male,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,small,,,,,,,,,,
Ruby-crowned Kinglet,United States,18-05-2011 16:55,"A small bird with a grayish-green plumage, a distinctive ruby-red crown, and a high-pitched song",Unknown,Grayish-green and Ruby-red,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,gray|green,,,,,,small,,,,,,,,song,,
American Avocet,United States,22-07-2010 09:55,"A medium-sized wading bird with a black-and-white plumage, long legs, and a distinctive upturned bill",Unknown,Black and White,,,,,,upturned,,,,,,,,,,,,,,,,,,,,,,long,wading,,,,black|white,,,,,,medium,,,,,,,,,,
Northern Cardinal,United States,26-08-2002 12:10,A medium-sized bird with a red plumage,Male,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,medium,,,,,,,,,,
White-winged Crossbill,United States,01-09-2011 14:35,"A small finch with a colorful plumage, including red and white",Male,Red and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red|white,,,,,,small,,,,,,,,,,
Clapper Rail,United States,07-05-2010 16:55,"A medium-sized rail with a mottled brown plumage and a distinctive ""clapper"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
Mourning Warbler,United States,30-07-2002 09:55,A small warbler with a grayish-brown plumage and a distinctive mournful song,Unknown,Grayish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,,,,,song,,
White-eyed Vireo,United States,12-05-2011 12:30,"A small songbird with a grayish-green plumage, a distinctive white eye ring, and a lively song",Unknown,Grayish-green and White,,,,,,,,,,,,,,,,white,,,,,,,eye_ring,,,,,,,,,,gray|green,,,,,,small,,,,,,,,song,,
Killdeer,United States,14-08-2010 14:35,"A medium-sized plover with a mottled brown plumage and a distinctive ""kill-deer"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
Cedar Waxwing,United States,19-06-2003 16:55,"A medium-sized bird with a brownish plumage, a distinctive crest, and waxy red tips on its wings",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Common Nighthawk,United States,23-08-2011 09:55,"A medium-sized bird with a brownish plumage, a distinctive ""peent"" call, and a habit of feeding on flying insects at dusk",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,call,,
Greater Yellowlegs,United States,27-07-2010 12:10,A tall wading bird with a mottled brown plumage and a distinctive long bill,Unknown,Brown,,,,,long,,,,,,,,,,,,,,,,,,,,tall,,,,wading,,,,brown,,mottled,,,,,,,,,,,,,,
Eurasian Collared-Dove,United States,20-05-2002 14:35,"A medium-sized dove with a pale plumage, a distinctive black neck ring, and a soothing cooing call",Unknown,Pale and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,medium,,,,,,,,call,,
Dickcissel,United States,27-08-2011 16:55,"A medium-sized bird with a colorful plumage, including yellow, black, and brown",Male,"Yellow, Black, and Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|brown|yellow,,,,,,medium,,,,,,,,,,
Chestnut-backed Chickadee,United States,22-05-2010 09:55,A small songbird with a grayish-brown plumage and a distinctive chestnut back,Unknown,Grayish-brown and Chestnut,,chestnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,small,,,,,,,,,,
Cassin's Kingbird,United States,25-06-2003 12:40,"A medium-sized bird with a grayish plumage, a yellow belly, and a distinctive ""kip"" call",Unknown,Grayish and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,yellow,,,call,,
Northern Mockingbird,United States,30-08-2011 13:30,A medium-sized bird with a gray plumage and a distinctive repertoire of mimicked songs,Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Red-eyed Vireo,United States,10-07-2010 16:55,"A small songbird with a greenish plumage, a distinctive red eye, and a melodious song",Unknown,Greenish and Red,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,green,,,,,,small,,,,,,,,song,,
Greater Roadrunner,United States,16-06-2002 09:55,"A medium-sized bird with a brownish plumage, a distinctive crest, and a habit of running on the ground",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Green-winged Teal,United States,04-08-2011 12:10,"A small duck with a colorful plumage, including green, brown, and white",Male,"Green, Brown, and White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|green|white,,,,,,small,,,,,,,,,,
Black-crowned Night Heron,United States,07-09-2010 14:35,"A medium-sized heron with a black plumage, a distinctive white crown, and a nocturnal behavior",Unknown,Black and White,nocturnal,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Eastern Meadowlark,United States,14-05-2003 16:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,medium,,,,,,,,song,,
Common Grackle,United States,30-08-2011 09:55,"A medium-sized blackbird with a black plumage and a distinctive ""chack"" call",Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,call,,
Bank Swallow,United States,15-09-2010 12:30,"A small bird with a brownish plumage, a distinctive black band across its breast, and a habit of nesting in sandy banks",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Pileated Woodpecker,United States,18-07-2002 14:35,"A large woodpecker with a black plumage, a distinctive red crest, and a loud, rhythmic drumming call",Unknown,Black and Red,,,,,,,,,,,,,,red,,,,,,,,,,crest,,,,,,,,,black,,,,,,large,,,,,,,,call,,
Brown-headed Cowbird,United States,05-09-2011 16:55,A medium-sized blackbird with a brown plumage and a habit of laying its eggs in the nests of other bird species,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,,,
Red-throated Loon,United States,13-08-2010 09:55,"A medium-sized diving bird with a grayish plumage, a distinctive red throat, and a haunting call",Unknown,Grayish and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diving,,,,gray,,,,,,medium,,,,red,,,,call,,
American Redstart,United States,14-06-2003 12:40,A small warbler with a black-and-orange plumage,Male,Black and Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|orange,,,,,,small,,,,,,,,,,
Savannah Sparrow,United States,23-08-2011 14:35,A small sparrow with a brownish plumage and a distinctive yellow eyebrow,Male,Brownish and Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Cape May Warbler,United States,31-07-2010 16:55,A small warbler with a yellowish-green plumage and a distinctive chestnut cheek patch,Male,Yellowish-green and Chestnut,,,,,,,,,,chestnut,,,,,,,,,,,,,,,,,,,,,,,green|yellow,,,,,,small,,,,,,,,,,
House Wren,United States,07-08-2002 09:55,A small bird with a brownish plumage and a distinctive bubbly song,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,song,,
Purple Sandpiper,United States,15-05-2011 12:10,"A medium-sized sandpiper with a mottled brown plumage and a distinctive ""peet"" call",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,call,,
Tufted Titmouse,United States,11-09-2010 14:35,"A small songbird with a gray plumage, a distinctive crest, and a variety of whistling calls",Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,gray,,,,,,small,,,,,,,,call,,
Green Heron,United States,20-08-2003 16:55,"A medium-sized heron with a greenish plumage, a distinctive neck ""hunch,"" and a dagger-like bill",Unknown,Green,,,,,,dagger,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,medium,,,,,,,,,,
Blue Grosbeak,United States,24-05-2011 09:55,"A medium-sized finch with a colorful plumage, including blue, black, and brown",Male,"Blue, Black, and Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|blue|brown,,,,,,medium,,,,,,,,,,
Yellow-throated Warbler,United States,30-07-2010 12:30,A small warbler with a yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Loggerhead Shrike,United States,26-06-2002 14:35,"A medium-sized bird with a gray plumage, a black mask, and a habit of impaling its prey on thorns",Unknown,Gray and Black,,,,,,,,,,,,,,,,,,,,,,,mask,,,,,,,,,,gray,,,,,,medium,,,,,,,,,,
Chestnut-sided Warbler,United States,04-09-2011 16:55,A small warbler with a yellow plumage and distinctive chestnut streaks,Male,Yellow and Chestnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,streaked,,,,small,,,,,,,,,,
Bank Swallow,United States,08-08-2010 09:55,"A small bird with a brownish plumage, a distinctive black band across its breast, and a habit of nesting in sandy banks",Unknown,Brown and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,,,,,,,
Peregrine Falcon,United States,12-06-2003 12:40,"A medium-sized falcon with a dark plumage, a distinctive black ""helmet,"" and a high-speed stoop hunting behavior",Unknown,Dark and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Common Yellowthroat,United States,18-08-2011 14:35,A small warbler with a yellow plumage and a distinctive black mask,Male,Yellow and Black,,,,,,,,,,,,,,,,,,,,,,,mask,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Red-tailed Hawk,United States,19-06-2010 16:55,"A large bird of prey with a brown plumage, a distinctive red tail, and a piercing scream call",Unknown,Brown and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,large,red,,,,,,,call,,
Ruffed Grouse,United States,23-08-2002 09:55,"A medium-sized gamebird with a mottled brown plumage, a distinctive ruff of feathers, and a drumming display",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,medium,,,,,,,,,,
Black-capped Chickadee,United States,03-09-2011 12:30,"A small songbird with a black cap, a white cheek, and a cheerful ""chick-a-dee-dee-dee"" call",Unknown,Black and White,,,,,,,,,black,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,call,,
Red-headed Woodpecker,United States,11-07-2010 14:35,A medium-sized woodpecker with a black-and-white plumage and a distinctive red head,Male,"Black, White, and Red",,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Veery,United States,14-05-2003 16:55,"A medium-sized thrush with a brownish plumage and a melodious, flute-like song",Unknown,Brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,medium,,,,,,,,song,,
American Goldfinch,United States,30-08-2011 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,,
Spotted Sandpiper,United States,30-07-2010 12:10,A small sandpiper with a mottled brown plumage and a distinctive teetering behavior,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,,,
