species,location,time,description of bird,sex,feather color,,,,,,
Killdeer,United States,14-08-2010 14:35,"A medium-sized plover with a mottled brown plumage and a distinctive ""kill-deer"" call,Unknown,Brown",Unknown,Brown,,,,,,
Cedar Waxwing,United States,19-06-2003 16:55,A medium-sized bird with a brownish plumage, a distinctive crest, and waxy red tips on its wings,Unknown,Brownish,,,,
Common Nighthawk,United States,23-08-2011 09:55,A medium-sized bird with a brownish plumage," a distinctive ""peent"" call, and a habit of feeding on flying insects at dusk,Unknown,Brownish", and a habit of feeding on flying insects at dusk,Unknown,Brownish,,,,
Greater Yellowlegs,United States,27-07-2010 12:10,A tall wading bird with a mottled brown plumage and a distinctive long bill,Unknown,Brown,,,,,,
Eurasian Collared-Dove,United States,20-05-2002 14:35,A medium-sized dove with a pale plumage, a distinctive black neck ring, and a soothing cooing call,Unknown,Pale and Black,,,,
Dickcissel,United States,27-08-2011 16:55,A medium-sized bird with a colorful plumage, including yellow, black, and brown,Male,Yellow, Black, and Brown,
Chestnut-backed Chickadee,United States,22-05-2010 09:55,A small songbird with a grayish-brown plumage and a distinctive chestnut back,Unknown,Grayish-brown and Chestnut,,,,,,
Cassin's Kingbird,United States,25-06-2003 12:40,A medium-sized bird with a grayish plumage, a yellow belly," and a distinctive ""kip"" call,Unknown,Grayish and Yellow",Unknown,Grayish and Yellow,,,,
Northern Mockingbird,United States,30-08-2011 13:30,A medium-sized bird with a gray plumage and a distinctive repertoire of mimicked songs,Unknown,Gray,,,,,,
Red-eyed Vireo,United States,10-07-2010 16:55,A small songbird with a greenish plumage, a distinctive red eye, and a melodious song,Unknown,Greenish and Red,,,,
Greater Roadrunner,United States,16-06-2002 09:55,A medium-sized bird with a brownish plumage, a distinctive crest, and a habit of running on the ground,Unknown,Brownish,,,,
Green-winged Teal,United States,04-08-2011 12:10,A small duck with a colorful plumage, including green, brown, and white,Male,Green, Brown, and White,
Black-crowned Night Heron,United States,07-09-2010 14:35,A medium-sized heron with a black plumage, a distinctive white crown, and a nocturnal behavior,Unknown,Black and White,,,,
Eastern Meadowlark,United States,14-05-2003 16:55,A medium-sized blackbird with a yellow plumage and a distinctive flute-like song,Male,Yellow,,,,,,
Common Grackle,United States,30-08-2011 09:55,"A medium-sized blackbird with a black plumage and a distinctive ""chack"" call,Unknown,Black",Unknown,Black,,,,,,
Bank Swallow,United States,15-09-2010 12:30,A small bird with a brownish plumage, a distinctive black band across its breast, and a habit of nesting in sandy banks,Unknown,Brown and Black,,,,
Pileated Woodpecker,United States,18-07-2002 14:35,A large woodpecker with a black plumage, a distinctive red crest, and a loud, rhythmic drumming call,Unknown,Black and Red,,,
Brown-headed Cowbird,United States,05-09-2011 16:55,A medium-sized blackbird with a brown plumage and a habit of laying its eggs in the nests of other bird species,Unknown,Brown,,,,,,
Red-throated Loon,United States,13-08-2010 09:55,A medium-sized diving bird with a grayish plumage, a distinctive red throat, and a haunting call,Unknown,Grayish and Red,,,,
American Redstart,United States,14-06-2003 12:40,A small warbler with a black-and-orange plumage,Male,Black and Orange,,,,,,
Savannah Sparrow,United States,23-08-2011 14:35,A small sparrow with a brownish plumage and a distinctive yellow eyebrow,Male,Brownish and Yellow,,,,,,
Cape May Warbler,United States,31-07-2010 16:55,A small warbler with a yellowish-green plumage and a distinctive chestnut cheek patch,Male,Yellowish-green and Chestnut,,,,,,
House Wren,United States,07-08-2002 09:55,A small bird with a brownish plumage and a distinctive bubbly song,Unknown,Brown,,,,,,
Purple Sandpiper,United States,15-05-2011 12:10,"A medium-sized sandpiper with a mottled brown plumage and a distinctive ""peet"" call,Unknown,Brown",Unknown,Brown,,,,,,
Tufted Titmouse,United States,11-09-2010 14:35,A small songbird with a gray plumage, a distinctive crest, and a variety of whistling calls,Unknown,Gray,,,,
Green Heron,United States,20-08-2003 16:55,A medium-sized heron with a greenish plumage," a distinctive neck ""hunch,"" and a dagger-like bill,Unknown,Green"," and a dagger-like bill,Unknown,Green",,,,,,
Blue Grosbeak,United States,24-05-2011 09:55,A medium-sized finch with a colorful plumage, including blue, black, and brown,Male,Blue, Black, and Brown,
Yellow-throated Warbler,United States,30-07-2010 12:30,A small warbler with a yellow plumage,Male,Yellow,,,,,,
Loggerhead Shrike,United States,26-06-2002 14:35,A medium-sized bird with a gray plumage, a black mask, and a habit of impaling its prey on thorns,Unknown,Gray and Black,,,,
Chestnut-sided Warbler,United States,04-09-2011 16:55,A small warbler with a yellow plumage and distinctive chestnut streaks,Male,Yellow and Chestnut,,,,,,
Bank Swallow,United States,08-08-2010 09:55,A small bird with a brownish plumage, a distinctive black band across its breast, and a habit of nesting in sandy banks,Unknown,Brown and Black,,,,
Peregrine Falcon,United States,12-06-2003 12:40,A medium-sized falcon with a dark plumage," a distinctive black ""helmet,"" and a high-speed stoop hunting behavior,Unknown,Dark and Black"," and a high-speed stoop hunting behavior,Unknown,Dark and Black",,,,,,
Common Yellowthroat,United States,18-08-2011 14:35,A small warbler with a yellow plumage and a distinctive black mask,Male,Yellow and Black,,,,,,
Red-tailed Hawk,United States,19-06-2010 16:55,A large bird of prey with a brown plumage, a distinctive red tail, and a piercing scream call,Unknown,Brown and Red,,,,
Ruffed Grouse,United States,23-08-2002 09:55,A medium-sized gamebird with a mottled brown plumage, a distinctive ruff of feathers, and a drumming display,Unknown,Brown,,,,
Black-capped Chickadee,United States,03-09-2011 12:30,A small songbird with a black cap, a white cheek," and a cheerful ""chick-a-dee-dee-dee"" call,Unknown,Black and White",Unknown,Black and White,,,,
Red-headed Woodpecker,United States,11-07-2010 14:35,A medium-sized woodpecker with a black-and-white plumage and a distinctive red head,Male,Black, White, and Red,,,,
Veery,United States,14-05-2003 16:55,A medium-sized thrush with a brownish plumage and a melodious, flute-like song,Unknown,Brownish,,,,,
American Goldfinch,United States,30-08-2011 09:55,A small finch with a bright yellow plumage,Male,Yellow,,,,,,
Spotted Sandpiper,United States,30-07-2010 12:10,A small sandpiper with a mottled brown plumage and a distinctive teetering behavior,Unknown,Brown,,,,,,
Black-and-white Warbler,United States,07-08-2002 14:35,A small warbler with a black-and-white plumage,Male,Black and White,,,,,,
Eastern Bluebird,United States,07-09-2011 16:55,A small thrush with a blue plumage,Male,Blue,,,,,,
Common Tern,United States,22-07-2010 09:55,A medium-sized tern with a white plumage, a distinctive black cap, and a graceful flight,Unknown,White and Black,,,,
Yellow-breasted Chat,United States,05-06-2003 12:40,A medium-sized songbird with a yellow plumage and a distinctive varied song,Male,Yellow,,,,,,
Barn Swallow,United States,15-08-2011 14:35,A medium-sized bird with a blue plumage, a rusty-red underbody, and a distinctive forked tail,Unknown,Blue and Rusty-red,,,,
American Kestrel,United States,19-05-2010 16:55,A small falcon with a colorful plumage, including rusty-brown, blue, and white,Male,Rusty-brown, Blue, and White,
Least Flycatcher,United States,22-06-2002 09:55,"A small songbird with a grayish-brown plumage and a distinctive ""che-bek"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,,,,,,
White-throated Sparrow,United States,24-08-2011 12:30,A small sparrow with a gray plumage, a distinctive white throat, and a melodious song,Unknown,Gray and White,,,,
Great Blue Heron,United States,10-07-2010 14:35,A tall heron with a blue-gray plumage," a distinctive ""kraak"" call, and a slow, deliberate flight,Unknown,Blue-gray", and a slow, deliberate flight,Unknown,Blue-gray,,,
Golden-crowned Kinglet,United States,19-08-2002 16:55,A small bird with a grayish-green plumage and a distinctive golden-yellow crown,Male,Grayish-green and Golden-yellow,,,,,,
Eastern Phoebe,United States,05-09-2011 09:55,"A small flycatcher with a grayish-brown plumage and a distinctive ""fee-bee"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,,,,,,
Ring-necked Duck,United States,12-07-2010 12:10,A medium-sized diving duck with a black-and-white plumage and a distinctive chestnut neck ring,Male,Black, White, and Chestnut,,,,
Northern Flicker,United States,16-06-2002 14:35,A medium-sized woodpecker with a brown plumage, a distinctive black crescent on its chest," and a loud ""wick-a-wick-a-wick"" call,Unknown,Brown and Black",Unknown,Brown and Black,,,,
Wilson's Warbler,United States,23-08-2011 16:55,A small warbler with a yellow plumage,Male,Yellow,,,,,,
Mallard,United States,27-05-2010 09:55,A medium-sized duck with a colorful plumage, including green, brown, and white,Male,Green, Brown, and White,
Blackburnian Warbler,United States,25-08-2003 12:30,A small warbler with a black-and-orange plumage,Male,Black and Orange,,,,,,
Semipalmated Sandpiper,United States,09-09-2011 14:35,A small sandpiper with a mottled brown plumage and partially webbed feet,Unknown,Brown,,,,,,
Baltimore Oriole,United States,11-06-2010 16:55,A medium-sized songbird with a black-and-orange plumage,Male,Black and Orange,,,,,,
Wood Duck,United States,13-08-2002 09:55,A medium-sized duck with a colorful plumage, including green, brown, and white,Male,Green, Brown, and White,
Hooded Warbler,United States,17-09-2011 12:30,A small warbler with a black-and-yellow plumage,Male,Black and Yellow,,,,,,
Bobolink,United States,20-08-2010 14:35,A medium-sized blackbird with a black-and-white plumage and a distinctive bubbling song,Unknown,Black and White,,,,,,
Ruby-throated Hummingbird,United States,24-07-2002 16:55,A small hummingbird with a green plumage, a distinctive ruby-red throat,Male,Green and Ruby-red,,,,,
Common Raven,United States,26-09-2011 09:55,A large bird with a black plumage and a distinctive croaking call,Unknown,Black,,,,,,
Eastern Towhee,United States,30-05-2010 12:10,A medium-sized bird with a black-and-rufous plumage,Male,Black and Rufous,,,,,,
Common Yellowthroat,United States,02-08-2002 14:35,A small warbler with a yellow plumage and a distinctive black mask,Male,Yellow and Black,,,,,,
American Redstart,United States,07-08-2011 16:55,A small warbler with a black-and-orange plumage,Male,Black and Orange,,,,,,
Yellow Warbler,United States,09-06-2010 09:55,A small warbler with a yellow plumage,Male,Yellow,,,,,,
Belted Kingfisher,United States,11-08-2003 12:30,A medium-sized bird with a blue plumage, a distinctive crest, and a rattling call,Unknown,Blue,,,,
Northern Parula,United States,14-09-2011 14:35,A small warbler with a blue-gray plumage,Male,Blue-gray,,,,,,
Palm Warbler,United States,20-07-2010 16:55,"A small warbler with a brownish plumage and a distinctive ""chip"" call,Unknown,Brownish",Unknown,Brownish,,,,,,
Dark-eyed Junco,United States,22-05-2002 09:55,A small sparrow with a gray plumage,Male,Gray,,,,,,
Red-eyed Vireo,United States,25-08-2011 12:10,A small songbird with a greenish plumage, a distinctive red eye, and a melodious song,Unknown,Greenish and Red,,,,
Canada Warbler,United States,01-05-2010 14:35,A small warbler with a gray plumage and a distinctive necklace pattern,Male,Gray,,,,,,
Sora,United States,04-07-2003 16:55,"A small rail with a brown plumage and a distinctive ""whinny"" call,Unknown,Brown",Unknown,Brown,,,,,,
White-breasted Nuthatch,United States,27-08-2011 09:55,A small bird with a grayish-blue plumage and a distinctive black cap,Unknown,Grayish-blue and Black,,,,,,
Sandhill Crane,United States,05-05-2010 12:10,A tall bird with a grayish plumage, a distinctive red forehead, and a loud, trumpeting call,Unknown,Grayish and Red,,,
Hermit Thrush,United States,17-05-2002 14:35,A medium-sized thrush with a brownish plumage and a melodious, flute-like song,Unknown,Brownish,,,,,
Northern Saw-whet Owl,United States,18-07-2011 16:55,"A small owl with a brownish plumage and a distinctive ""toot-toot-toot"" call,Unknown,Brownish",Unknown,Brownish,,,,,,
Snowy Egret,United States,23-08-2010 09:55,A medium-sized wading bird with a white plumage, a distinctive black bill, and elegant, delicate movements,Unknown,White and Black,,,
Yellow-throated Warbler,United States,04-07-2003 12:30,A small warbler with a yellow plumage,Male,Yellow,,,,,,
Downy Woodpecker,United States,31-08-2011 14:35,A small woodpecker with a black-and-white plumage and a small bill,Unknown,Black and White,,,,,,
American Robin,United States,29-07-2010 16:55,A medium-sized thrush with a grayish-brown plumage,Male,Grayish-brown,,,,,,
Eastern Kingbird,United States,31-05-2002 09:55,A medium-sized bird with a grayish plumage, a black cap," and a distinctive ""bee-buzz"" call,Unknown,Grayish and Black",Unknown,Grayish and Black,,,,
Cedar Waxwing,United States,10-08-2011 12:10,A medium-sized bird with a brownish plumage, a distinctive crest, and waxy red tips on its wings,Unknown,Brownish,,,,
Northern Pintail,United States,12-05-2010 14:35,A large duck with a colorful plumage, including brown, white, and gray,Male,Brown, White, and Gray,
Eastern Wood-Pewee,United States,16-07-2003 16:55,"A small flycatcher with a grayish-brown plumage and a distinctive ""pee-a-wee"" call,Unknown,Grayish-brown",Unknown,Grayish-brown,,,,,,
Red-winged Blackbird,United States,18-08-2011 09:55,A medium-sized blackbird with a black plumage and distinctive red shoulder patches,Male,Black and Red,,,,,,
American White Pelican,United States,21-06-2010 12:30,A large waterbird with a white plumage, a distinctive pouched bill, and a soaring flight,Unknown,White,,,,
